ID|LABEL|POLICY_ID|CLAIM_ID|PROVIDER_ID|AMOUNT|LICENSE_NUMBER|INSURED_SEX|INSURED_EDUCATION_LEVEL|INSURED_OCCUPATION|INSURED_HOBBIES|INSURED_RELATIONSHIP|INCIDENT_DATE|INCIDENT_TYPE|INCIDENT_CITY|INCIDENT_STATE|INCIDENT_SEVERITY|AUTHORITIES_CONTACTED|POLICE_REPORT_AVAILABLE
M_0.47.0|mbr|Q_0.47||P_167|411.84|756 XFN|1|||||2021-04-18|9|North Davidland|IA|0|1|1
M_0.48.0|mbr|Q_0.48||P_154|942.06|QWB-1175|1|||||2021-03-25|3|New Lisa|DE|6|0|1
M_0.48.1|mbr|Q_0.48||P_345|959.74|5-15539|0|||||2021-05-03|10|New Christopher|IN|0|0|0
M_0.49.0|mbr|Q_0.49||P_433|503.15|970-QET|3|||||2021-12-25|4|Amychester|DE|1|0|1
M_0.49.1|mbr|Q_0.49||P_426|468.87|8OA 444|0|||||2022-03-02|5|South Julie|UT|0|1|1
M_0.51.0|mbr|Q_0.51||P_182|712.14|7VV F95|0|||||2021-07-31|6|Amandabury|SC|2|0|0
M_0.51.1|mbr|Q_0.51||P_107|925.31|NKP-0613|0|||||2021-08-04|10|New Daniel|NE|1|1|0
M_0.53.0|mbr|Q_0.53||P_152|275.76|442 PLR|3|||||2022-01-03|9|North Stephen|NJ|5|1|1
M_0.53.1|mbr|Q_0.53||P_223|201.95|2J982|1|||||2021-11-18|5|Boyermouth|MI|5|0|1
M_0.53.2|mbr|Q_0.53||P_496|863.01|XM-8284|3|||||2021-11-30|8|Davidberg|NC|0|0|1
M_0.54.0|mbr|Q_0.54||P_331|943.43|51N 926|3|||||2021-03-10|1|Stewartton|KS|5|0|0
M_0.56.0|mbr|Q_0.56||P_425|227.93|43-84256|2|||||2021-11-20|3|Harveystad|DC|5|0|0
M_0.56.1|mbr|Q_0.56||P_134|584.0|509 EBY|1|||||2022-04-18|13|New Jasonfort|NM|1|0|0
M_0.56.2|mbr|Q_0.56||P_91|907.62|MZR 371|1|||||2021-01-09|6|Johnsonburgh|ID|5|1|0
M_0.57.0|mbr|Q_0.57||P_385|260.84|736 WSN|0|||||2021-11-25|2|Bradfordbury|TX|3|0|1
M_0.58.0|mbr|Q_0.58||P_436|130.38|Y77 0GA|2|||||2021-04-29|6|Mcdonaldport|SD|6|0|0
M_0.58.1|mbr|Q_0.58||P_251|338.04|AHY-3036|3|||||2021-08-07|2|South Joseph|VA|0|0|0
M_0.58.2|mbr|Q_0.58||P_33|173.64|A 532703|3|||||2021-03-28|12|Huntton|WY|2|1|0
M_0.59.0|mbr|Q_0.59||P_430|885.48|881 KDX|2|||||2021-10-05|11|New Jennifer|SC|6|0|1
M_0.61.0|mbr|Q_0.61||P_240|991.48|06-5898S|1|||||2022-03-05|8|Rogerston|SD|5|1|1
M_0.61.1|mbr|Q_0.61||P_472|583.18|6YN1147|3|||||2021-05-02|5|West Joshuachester|AK|4|1|1
M_0.62.0|mbr|Q_0.62||P_143|233.14|70-Y018|2|||||2021-02-03|2|New Karafurt|AR|6|0|1
M_0.63.0|mbr|Q_0.63||P_465|675.61|J54-50V|1|||||2022-02-16|13|New Angelabury|WA|6|0|0
M_0.63.1|mbr|Q_0.63||P_486|540.43|XV0 7724|3|||||2021-05-10|8|Sarahfurt|MT|2|1|1
M_0.64.0|mbr|Q_0.64||P_98|892.82|I 769309|3|||||2021-04-17|4|Jessicastad|VA|3|0|1
M_0.64.1|mbr|Q_0.64||P_13|117.0|869-QXC|1|||||2021-12-21|11|Lake Gail|OK|1|0|1
M_0.64.2|mbr|Q_0.64||P_284|474.08|2RC 228|2|||||2022-02-17|12|Jerometon|IL|2|1|0
M_0.65.0|mbr|Q_0.65||P_457|209.13|DLG6182|1|||||2021-06-01|10|South Cherylland|KY|6|1|1
M_0.65.1|mbr|Q_0.65||P_170|111.64|OUH-652|3|||||2021-06-09|6|Jacksonbury|AR|0|0|1
M_0.65.2|mbr|Q_0.65||P_492|482.44|5UK5184|1|||||2021-11-18|2|Ashleyton|ME|2|1|1
M_0.67.0|mbr|Q_0.67||P_275|701.64|S 501960|1|||||2021-07-28|4|Jenkinschester|DE|4|1|0
M_0.69.0|mbr|Q_0.69||P_11|192.75|979Q5|3|||||2021-04-06|13|New Vincentmouth|AL|1|1|0
M_0.69.1|mbr|Q_0.69||P_285|116.0|MCN-3358|3|||||2021-04-23|5|Sanchezfurt|DC|6|1|0
M_0.69.2|mbr|Q_0.69||P_312|365.13|1JSA183|1|||||2021-10-23|2|East Georgetown|NC|4|1|0
M_0.71.0|mbr|Q_0.71||P_180|569.69|230-CNP|3|||||2021-02-16|8|North Thomaschester|MD|3|1|1
M_0.72.0|mbr|Q_0.72||P_491|558.33|LSH 170|1|||||2022-01-15|13|Vegamouth|HI|0|0|1
M_0.75.0|mbr|Q_0.75||P_97|440.58|Z 207180|2|||||2021-10-02|10|Austinside|MI|3|1|1
M_0.75.1|mbr|Q_0.75||P_250|374.24|TSS 313|0|||||2022-02-02|8|South Michellebury|IL|2|1|0
M_0.76.0|mbr|Q_0.76||P_393|594.91|0-S2215|2|||||2022-01-18|12|New Bridgetville|IN|3|1|1
M_0.78.0|mbr|Q_0.78||P_387|957.84|7I 5Z0VSH|2|||||2021-01-27|7|North Margaret|MO|6|0|0
M_0.79.0|mbr|Q_0.79||P_475|725.49|GM 13600|3|||||2022-03-19|0|South Loriview|CA|0|0|0
M_0.80.0|mbr|Q_0.80||P_76|562.69|165I6|2|||||2021-10-07|7|Port Tonya|ND|2|0|1
M_0.80.1|mbr|Q_0.80||P_200|973.17|74ZB7|1|||||2021-10-14|5|Johnview|VA|3|0|1
M_0.81.0|mbr|Q_0.81||P_198|819.54|2JP87|2|||||2021-11-17|11|Lake Haley|DE|3|1|1
M_0.82.0|mbr|Q_0.82||P_144|313.82|161-DPO|1|||||2021-03-06|12|South Jeremiahberg|GA|3|0|1
M_0.82.1|mbr|Q_0.82||P_458|323.6|00G Y05|3|||||2021-10-08|1|Stephenport|ND|5|0|0
M_0.82.2|mbr|Q_0.82||P_293|346.35|662 MRK|1|||||2021-09-16|11|Lake Alexander|WV|4|1|1
M_0.84.0|mbr|Q_0.84||P_356|323.85|81E KS7|0|||||2022-02-24|13|New Amanda|OH|2|1|1
M_0.84.1|mbr|Q_0.84||P_467|209.42|3X 7830X|1|||||2021-02-19|1|East Donnaport|PA|0|0|1
M_0.84.2|mbr|Q_0.84||P_332|719.25|314SHG|0|||||2021-10-25|7|East Elizabethmouth|MT|3|0|0
M_0.85.0|mbr|Q_0.85||P_3|802.92|2SO6829|1|||||2021-10-26|4|East Frederickchester|GA|6|0|1
M_0.85.1|mbr|Q_0.85||P_351|477.59|QQG 434|1|||||2021-01-27|11|Port Erik|NY|2|0|1
M_0.85.2|mbr|Q_0.85||P_42|747.75|3FIR822|0|||||2021-11-07|7|West Alexander|WV|2|1|1
M_0.88.0|mbr|Q_0.88||P_111|360.61|7CA4349|2|||||2021-04-03|6|Stephenfurt|DE|2|0|0
M_0.90.0|mbr|Q_0.90||P_124|533.77|126 HZG|1|||||2021-05-06|1|East Chelsea|IN|0|1|1
M_0.90.1|mbr|Q_0.90||P_82|977.86|32SA0|2|||||2021-02-01|11|New Davidburgh|KY|4|0|1
M_0.90.2|mbr|Q_0.90||P_87|809.06|275 HIW|3|||||2021-04-29|9|Carlland|IL|3|1|0
M_0.91.0|mbr|Q_0.91||P_177|499.28|95ZH306|0|||||2022-01-19|0|Tommyview|ND|2|0|1
M_0.91.1|mbr|Q_0.91||P_23|233.17|313-NSG|3|||||2022-02-21|13|North Sarah|DC|2|1|0
M_0.93.0|mbr|Q_0.93||P_277|408.16|952-SCN|0|||||2021-02-11|3|Shaneborough|MI|3|0|0
M_0.93.1|mbr|Q_0.93||P_297|466.49|LLD-258|3|||||2021-12-24|3|Christensenburgh|RI|3|0|0
M_0.93.2|mbr|Q_0.93||P_375|527.67|HEM 105|1|||||2022-02-17|10|Jamiemouth|VA|1|0|1
M_0.94.0|mbr|Q_0.94||P_480|755.99|802 GBO|1|||||2021-10-03|5|South Michael|DE|4|0|0
M_0.94.1|mbr|Q_0.94||P_268|342.94|IKS-9318|3|||||2021-05-01|8|Franciscohaven|WI|6|0|1
M_0.95.0|mbr|Q_0.95||P_184|823.59|FDR6490|2|||||2022-03-16|0|Hallbury|CO|2|1|0
M_0.96.0|mbr|Q_0.96||P_410|669.41|592 4OW|2|||||2021-02-24|0|New Brittanymouth|CT|1|1|1
M_0.96.1|mbr|Q_0.96||P_70|534.5|HRF1633|3|||||2021-05-05|4|Lake Samantha|ME|3|1|0
M_0.99.0|mbr|Q_0.99||P_472|777.07|KPX4430|3|||||2021-03-15|2|Port Robert|HI|0|0|0
M_0.99.1|mbr|Q_0.99||P_338|154.3|830RWB|3|||||2021-03-11|3|Darrenchester|IN|2|1|0
M_0.99.2|mbr|Q_0.99||P_20|451.8|EZL-353|1|||||2021-07-19|1|New Glenda|KS|1|0|0
M_1.2.0|mbr|Q_1.2||P_73|376.76|BHT-8887|2|||||2021-12-23|6|New Julie|IN|3|0|0
M_1.2.1|mbr|Q_1.2||P_166|602.37|052 SJA|1|||||2021-01-29|13|North Christopherport|HI|4|0|1
M_1.2.2|mbr|Q_1.2||P_297|390.05|E31 0UD|1|||||2021-11-01|12|New Ryanborough|LA|5|0|0
M_1.3.0|mbr|Q_1.3||P_439|825.85|256 ZHB|2|||||2021-05-06|12|Port Daniel|MI|1|1|1
M_1.3.1|mbr|Q_1.3||P_271|442.93|KCZ-8297|1|||||2022-03-14|5|Smithport|MS|0|0|0
M_1.3.2|mbr|Q_1.3||P_135|745.76|685 AJQ|3|||||2021-01-23|2|Port Philipbury|KY|0|1|0
M_1.4.0|mbr|Q_1.4||P_110|185.01|7O M3329|3|||||2022-04-18|10|Susanfurt|ME|0|0|1
M_1.4.1|mbr|Q_1.4||P_50|135.23|310-CXXG|1|||||2021-04-13|5|Lake Nicholas|MA|1|0|0
M_1.5.0|mbr|Q_1.5||P_367|235.07|BYW0591|1|||||2021-02-26|1|Millerside|CO|5|0|1
M_1.5.1|mbr|Q_1.5||P_239|251.79|52-9498V|3|||||2021-08-19|4|West Robertofurt|ND|4|0|0
M_1.6.0|mbr|Q_1.6||P_204|480.4|K37 9RZ|1|||||2022-04-16|0|Port Donaldburgh|VT|4|0|1
M_1.6.1|mbr|Q_1.6||P_109|570.58|DKQ 409|2|||||2022-04-15|11|Murphyberg|DE|1|0|1
M_1.7.0|mbr|Q_1.7||P_228|690.29|555 PCE|1|||||2021-05-13|1|East Daniel|IA|0|0|0
M_1.8.0|mbr|Q_1.8||P_102|840.17|184 WCP|1|||||2021-11-21|5|North Stacie|AL|3|0|0
M_1.8.1|mbr|Q_1.8||P_319|996.55|HDO 181|2|||||2021-04-28|2|North Melissa|ME|5|1|1
M_1.8.2|mbr|Q_1.8||P_436|619.54|9VO 298|1|||||2022-01-15|7|Brianport|NY|5|0|1
M_1.9.0|mbr|Q_1.9||P_171|857.37|2O L1062|0|||||2022-02-11|3|West Jessica|VT|4|0|0
M_1.9.1|mbr|Q_1.9||P_145|495.02|549 WLK|3|||||2021-08-12|2|Port Anthonymouth|TN|2|1|1
M_1.11.0|mbr|Q_1.11||P_287|263.54|7Z 27529|1|||||2021-04-21|7|North Madeline|DE|0|1|1
M_1.11.1|mbr|Q_1.11||P_55|513.13|VRZ-809|0|||||2022-04-24|1|Phillipsport|UT|6|0|1
M_1.11.2|mbr|Q_1.11||P_486|174.35|KCI 169|0|||||2021-11-17|10|North Davidmouth|KS|3|1|0
M_1.12.0|mbr|Q_1.12||P_45|776.63|15-65231|0|||||2021-06-28|3|Marshallside|NC|1|1|1
M_1.12.1|mbr|Q_1.12||P_323|656.75|4ZK E89|1|||||2022-02-08|13|Manningchester|CA|4|1|0
M_1.12.2|mbr|Q_1.12||P_249|840.79|O73 9DK|2|||||2021-12-11|10|Shelialand|DC|2|0|1
M_1.13.0|mbr|Q_1.13||P_228|323.84|090Z|1|||||2021-04-05|8|South Kevin|VA|0|1|1
M_1.13.1|mbr|Q_1.13||P_282|729.72|NYM-977|2|||||2021-08-20|1|West Carmen|SD|2|1|0
M_1.14.0|mbr|Q_1.14||P_361|445.6|3APN765|1|||||2021-10-07|0|Smithchester|VT|3|1|0
M_1.14.1|mbr|Q_1.14||P_277|544.0|216 8JW|1|||||2022-03-26|9|Blanchardville|KS|1|1|1
M_1.14.2|mbr|Q_1.14||P_174|901.3|PZ 0678|1|||||2021-06-22|2|Hudsonfurt|NV|1|0|0
M_1.15.0|mbr|Q_1.15||P_4|372.34|86-73811|2|||||2022-01-13|13|North Marcuschester|AL|1|0|1
M_1.16.0|mbr|Q_1.16||P_93|544.77|964-USS|0|||||2021-03-29|3|East Joshuafort|MT|2|0|0
M_1.17.0|mbr|Q_1.17||P_289|703.83|KME 801|3|||||2021-12-27|12|Lake Amy|HI|4|0|0
M_1.17.1|mbr|Q_1.17||P_84|904.28|CTB-2817|2|||||2022-03-25|0|North Danielshire|WA|4|0|0
M_1.18.0|mbr|Q_1.18||P_490|429.0|LQH 031|1|||||2021-01-20|7|South John|IN|5|0|0
M_1.18.1|mbr|Q_1.18||P_99|911.14|35Z 9969|3|||||2022-02-08|12|Sandraside|WV|6|0|0
M_1.18.2|mbr|Q_1.18||P_133|809.54|4IJ E26|3|||||2022-03-19|11|Lake Loriland|MI|3|1|1
M_1.19.0|mbr|Q_1.19||P_330|803.87|DFU-0923|1|||||2021-12-05|0|North Eric|NY|2|0|1
M_1.19.1|mbr|Q_1.19||P_244|553.46|51-KE26|2|||||2022-02-07|3|West Jacob|KY|1|0|0
M_1.19.2|mbr|Q_1.19||P_342|639.65|E74-USJ|2|||||2021-06-13|6|Lake Audreyside|NC|2|1|0
M_1.20.0|mbr|Q_1.20||P_382|439.61|DCZ-4377|0|||||2021-09-13|12|Gravesborough|MI|4|1|0
M_1.21.0|mbr|Q_1.21||P_195|864.2|4021|2|||||2021-08-10|0|Elizabethborough|TN|3|0|0
M_1.22.0|mbr|Q_1.22||P_372|528.56|TLU-619|3|||||2021-01-02|7|New Brookechester|WA|3|0|0
M_1.22.1|mbr|Q_1.22||P_424|498.57|MVH 796|2|||||2022-02-07|1|Lake Ashley|FL|6|1|0
M_1.22.2|mbr|Q_1.22||P_65|935.49|R11 6ZN|2|||||2021-11-08|10|Boyermouth|HI|1|0|0
M_1.23.0|mbr|Q_1.23||P_104|152.1|UUG-7368|1|||||2021-01-01|9|Cruzfort|CA|2|0|0
M_1.23.1|mbr|Q_1.23||P_229|260.32|DYL 611|2|||||2021-08-03|5|Christinafurt|SD|2|0|0
M_1.24.0|mbr|Q_1.24||P_253|907.04|03C N02|1|||||2021-12-12|4|Christopherborough|OK|3|0|0
M_1.24.1|mbr|Q_1.24||P_394|141.0|4EQ 164|1|||||2022-03-12|10|Brownfurt|OK|2|0|1
M_1.25.0|mbr|Q_1.25||P_198|676.06|92T M22|3|||||2021-03-24|5|Jamesview|PA|2|0|0
M_1.25.1|mbr|Q_1.25||P_233|676.75|WAZ-049|1|||||2021-09-24|7|North Amberhaven|RI|1|0|0
M_1.26.0|mbr|Q_1.26||P_382|629.57|37-9812M|2|||||2022-03-04|13|Lake Gregory|OH|2|0|0
M_1.26.1|mbr|Q_1.26||P_482|975.8|IFE-438|0|||||2021-06-26|4|Lake Sarahshire|HI|3|0|0
M_1.26.2|mbr|Q_1.26||P_234|537.89|VZC 880|0|||||2021-02-09|11|Jennybury|SC|1|0|1
M_1.27.0|mbr|Q_1.27||P_271|708.46|YXA 239|2|||||2021-04-27|8|Tamaraside|NM|5|0|0
M_1.28.0|mbr|Q_1.28||P_404|908.52|9X 20774|3|||||2021-01-06|4|Davisstad|WA|5|1|1
M_1.28.1|mbr|Q_1.28||P_472|889.45|965 CAI|0|||||2022-04-06|7|East Robert|DE|6|0|0
M_1.28.2|mbr|Q_1.28||P_493|709.71|469 XN7|1|||||2021-12-24|11|Juliaport|NE|1|1|0
M_1.29.0|mbr|Q_1.29||P_360|719.12|VQT8822|2|||||2021-03-17|11|Sullivanstad|KY|3|1|1
M_1.29.1|mbr|Q_1.29||P_341|851.91|32GY6|2|||||2021-09-18|3|North Edwardshire|VA|1|0|0
M_1.30.0|mbr|Q_1.30||P_65|875.5|428-MLIE|0|||||2021-10-20|8|West Shannonshire|NY|5|1|0
M_1.30.1|mbr|Q_1.30||P_170|433.45|17-57846|3|||||2022-04-16|8|Lisaside|LA|1|1|0
M_1.30.2|mbr|Q_1.30||P_211|839.13|6M 47390|2|||||2021-09-13|8|Lyonsport|IN|3|1|0
M_1.32.0|mbr|Q_1.32||P_423|583.46|570-BCA|2|||||2022-03-20|6|North Jerryland|ID|3|1|1
M_1.32.1|mbr|Q_1.32||P_225|716.77|946 CDY|3|||||2021-04-12|7|Fischerside|WA|1|1|1
M_1.32.2|mbr|Q_1.32||P_267|651.9|1DO A07|2|||||2022-01-12|4|New Brittanyburgh|UT|3|0|1
M_1.33.0|mbr|Q_1.33||P_330|700.7|501 OOT|2|||||2022-04-13|0|Ryanchester|IL|2|0|1
M_1.33.1|mbr|Q_1.33||P_13|419.6|484 7NS|2|||||2021-05-11|4|Jillport|RI|2|1|1
M_1.34.0|mbr|Q_1.34||P_161|688.15|741 7905|0|||||2021-04-02|12|Laurafurt|MI|1|0|0
M_1.35.0|mbr|Q_1.35||P_167|455.56|871-KAUG|0|||||2021-08-04|5|North Mikemouth|ID|6|1|1
M_1.35.1|mbr|Q_1.35||P_357|848.14|ZFQ-1539|3|||||2021-09-05|10|Washingtonton|NY|1|1|0
M_1.36.0|mbr|Q_1.36||P_169|851.48|XN-7371|0|||||2021-02-13|9|West Deborahbury|DE|6|0|1
M_1.36.1|mbr|Q_1.36||P_110|964.93|5-N8372|3|||||2022-04-28|12|Kellymouth|NM|1|0|1
M_1.36.2|mbr|Q_1.36||P_423|770.31|MGB 164|0|||||2022-03-21|5|Simmonsfurt|CT|6|1|1
M_1.37.0|mbr|Q_1.37||P_164|895.64|MVU 720|1|||||2021-04-16|7|Port Sandy|IN|1|1|0
M_1.39.0|mbr|Q_1.39||P_348|710.86|B 889841|2|||||2021-04-24|1|Flynnville|ID|2|0|1
M_1.39.1|mbr|Q_1.39||P_148|486.66|7IE 850|2|||||2021-04-09|2|West Kenneth|KS|2|0|1
M_1.39.2|mbr|Q_1.39||P_393|848.46|0YC0535|1|||||2021-09-14|9|Port Nicole|PA|6|1|0
M_1.41.0|mbr|Q_1.41||P_206|811.63|HZF-343|1|||||2021-06-09|2|North Johnside|DC|6|0|0
M_1.41.1|mbr|Q_1.41||P_259|734.67|069 GRU|2|||||2021-07-26|1|Mooremouth|MT|6|0|0
M_1.42.0|mbr|Q_1.42||P_329|388.72|RPD-7890|0|||||2022-02-27|2|New Joel|PA|2|0|1
M_1.42.1|mbr|Q_1.42||P_56|239.74|MDK 972|2|||||2021-08-05|2|West Gina|AK|3|0|0
